nominal_formula,volume_per_atom,C11,C12,C44,B,Gv,GR,G,E,v,Hv,"AV,R",KIC,G/B,bulk_energy,force,real_formula,bulk_energy,volume,error1,error2,error3
HfTiVZr,22.46688,499.403,114.555,157.555,242.8377,171.5026,169.8676,170.6851,414.8574,0.215271,23.44685,0.004789,341.9896,0.702877,-19.3803,0.00857,Hf8Ti8V8Zr8C32,-620.169,718.94,1.41%,1.27%,0.26%
HfTiWZr,22.99594,572.375,98.4793,166.845,256.4445,194.8861,189.2403,192.0632,461.0812,0.200337,27.39787,0.014698,374.249,0.748946,-20.2837,0.007835,Hf8Ti8W8Zr8C32,-649.079,735.87,1.72%,1.94%,0.28%
HfVWZr,22.70906,506.843,51.9707,148.917,203.5948,180.3247,172.7765,176.5506,410.8836,0.163643,30.49254,0.021377,319.0444,0.867166,-20.2532,0.008752,Hf8V8W8Zr8C32,-648.101,726.69,1.85%,3.11%,0.14%
MoNbTaTi,21.56031,590.261,171.156,171.09,310.8577,186.475,184.6464,185.5607,464.2976,0.251066,20.65866,0.004927,400.6818,0.596931,-20.4074,0.008147,Mo8Nb8Ta8Ti8C32,-653.038,689.93,1.63%,4.52%,0.28%
MoNbTaV,21.11375,589.897,151.615,149.443,297.709,177.3222,171.2265,174.2743,437.4619,0.255095,19.3269,0.017489,378.6811,0.585385,-20.3807,0.022869,Mo8Nb8Ta8V8C32,-652.182,675.64,1.46%,1.37%,3.32%
MoNbTaW,21.79531,510.111,197.881,137.439,301.9577,144.9094,144.3462,144.6278,374.1485,0.293487,13.48198,0.001947,349.2685,0.478967,-21.0551,0.009678,Mo8Nb8Ta8W8C32,-673.764,697.45,1.37%,1.67%,0.83%
MoNbTaZr,22.91688,561.797,129.608,159.632,273.671,182.217,178.2631,180.24,443.3827,0.229978,22.63103,0.010969,374.311,0.658601,-20.537,0.007584,Mo8Nb8Ta8Zr8C32,-657.184,733.34,1.78%,1.58%,0.09%
MoNbTiW,21.16531,550.047,175.01,147.729,300.0223,163.6448,161.4306,162.5377,413.027,0.270558,16.84513,0.006811,367.2749,0.541752,-20.3035,0.00973,Mo8Nb8Ti8W8C32,-649.712,677.29,2.13%,3.91%,1.58%
MoNbVW,20.83281,485.073,147.24,141.279,259.851,152.334,151.1727,151.7534,381.0769,0.25558,17.47618,0.003826,329.3993,0.584001,-20.2778,0.019316,Mo8Nb8V8W8C32,-648.891,666.65,1.02%,1.31%,0.31%
MoNbVZr,21.89813,554.911,119.541,161.071,264.6643,183.7166,179.7726,181.7446,443.6765,0.220604,23.87205,0.01085,366.8425,0.686699,-19.6551,0.033089,Mo8Nb8V8Zr8C32,-628.964,700.74,1.64%,1.32%,0.18%
MoNbWZr,22.59125,564.513,108.17,144.371,260.2843,177.8912,169.2326,173.5619,425.9982,0.227223,22.34688,0.024944,357.3616,0.666817,-20.4185,0.009938,Mo8Nb8W8Zr8C32,-653.391,722.92,1.88%,1.88%,1.09%
MoTaTiV,20.48563,577.931,144.278,174.551,288.829,191.4612,189.3156,190.3884,468.274,0.229786,23.54919,0.005635,387.8962,0.659173,-20.009,0.027201,Mo8Ta8Ti8V8C32,-640.287,655.54,1.66%,1.43%,0.24%
MoTaTiW,21.20094,598.865,151.201,154.234,300.4223,182.0732,176.1417,179.1074,448.2436,0.251326,20.11875,0.016559,385.9065,0.596186,-20.7228,0.009689,Mo8Ta8Ti8W8C32,-663.128,678.43,1.59%,1.55%,1.01%
MoTaTiZr,22.39281,639.493,63.7567,165.861,255.6688,214.6639,199.7199,207.1919,489.3793,0.180981,31.6203,0.036063,386.4055,0.810392,-20.1099,0.008724,Mo8Ta8Ti8Zr8C32,-643.518,716.57,1.64%,0.96%,0.33%
MoTaVW,20.83,482.902,160.819,142.777,268.18,150.0828,149.562,149.8224,378.9068,0.26452,16.46669,0.001738,332.4935,0.558664,-20.6876,0.038169,Mo8Ta8V8W8C32,-662.003,666.56,0.87%,1.21%,0.32%
MoTaVZr,21.9275,502.533,128.597,157.239,253.2423,169.1306,167.919,168.5248,413.787,0.227674,21.83544,0.003595,345.6195,0.665469,-20.0851,0.01754,Mo8Ta8V8Zr8C32,-642.723,701.68,0.90%,2.71%,0.34%
MoTaWZr,22.53281,558.488,138.916,152.233,278.7733,175.2542,170.9977,173.126,430.3015,0.242741,20.57384,0.012293,369.2121,0.621028,-20.835,0.019342,Mo8Ta8W8Zr8C32,-666.72,721.05,1.65%,1.99%,0.37%
MoTiVW,20.10688,590.803,123.605,164.326,279.3377,192.0352,186.4414,189.2383,463.1316,0.223673,24.18913,0.01478,379.1346,0.677454,-19.9393,0.022777,Mo8Ti8V8W8C32,-638.058,643.42,1.71%,1.58%,0.33%
MoTiVZr,21.33531,560.815,97.0293,154.15,251.6245,185.2471,178.0231,181.6351,439.2214,0.209076,25.25547,0.019886,356.0352,0.72185,-19.2217,0.017467,Mo8Ti8V8Zr8C32,-615.094,682.73,1.60%,1.66%,0.08%
MoTiWZr,21.98719,546.676,112.172,148.944,257.0067,176.2672,170.3711,173.3192,424.5272,0.224698,22.61273,0.017009,353.2567,0.674376,-20.0194,0.045741,Mo8Ti8W8Zr8C32,-640.621,703.59,1.61%,2.00%,4.71%
MoVWZr,21.62156,445.343,148.645,146.426,247.5443,147.1952,147.1892,147.1922,368.5323,0.251875,17.45628,0.0000204,318.6031,0.594609,-19.9946,0.023054,Mo8V8W8Zr8C32,-639.828,691.89,2.01%,2.06%,0.36%
NbTaTiV,20.95531,595.09,137.865,180.096,290.2733,199.5026,196.8023,198.1524,484.2644,0.221949,25.2081,0.006814,398.2162,0.682641,-20.1312,0.017517,Nb8Ta8Ti8V8C32,-644.199,670.57,2.36%,1.68%,4.19%
NbTaTiW,21.56031,676.445,118.241,175.464,304.309,216.9192,206.072,211.4956,515.1445,0.217861,26.94262,0.025644,423.2373,0.695003,-20.8872,0.009027,Nb8Ta8Ti8W8C32,-668.389,689.93,1.75%,1.53%,0.13%
NbTaVW,21.15188,631.549,136.842,164.334,301.7443,197.5418,189.8174,193.6796,478.6327,0.23563,23.1264,0.019941,402.0249,0.641867,-20.8543,0.035612,Nb8Ta8V8W8C32,-667.337,676.86,1.90%,1.43%,0.20%
NbTaVZr,22.34656,572.401,119.773,165.245,270.649,189.6726,185.2391,187.4559,456.8855,0.218648,24.63998,0.011825,378.0256,0.692616,-20.2303,0.008535,Nb8Ta8V8Zr8C32,-647.37,715.09,1.51%,1.43%,0.24%
NbTaWZr,22.87094,593.184,117.928,164.742,276.3467,193.8964,187.7807,190.8385,465.3871,0.219322,24.87043,0.016023,386.9078,0.690577,-21.01,0.00977,Nb8Ta8W8Zr8C32,-672.321,731.87,2.12%,1.95%,0.28%
NbTiVW,20.50313,690.937,110.888,176.341,304.2377,221.8144,209.131,215.4727,522.9584,0.213514,27.89224,0.029432,423.5837,0.708238,-20.0723,0.009091,Nb8Ti8V8W8C32,-642.313,656.1,4.06%,3.01%,0.10%
NbTiVZr,21.82156,550.057,115.908,167.775,260.6243,187.4948,184.5392,186.017,450.8002,0.211718,25.35732,0.007944,368.0709,0.713736,-19.3373,0.007825,Nb8Ti8V8Zr8C32,-618.792,698.29,3.55%,2.16%,2.82%
NbTiWZr,22.39813,556.369,126.432,160.809,269.7443,182.4728,178.831,180.6519,443.0499,0.226253,23.10306,0.01008,370.6233,0.669715,-20.1691,0.033436,Nb8Ti8W8Zr8C32,-645.411,716.74,1.78%,1.85%,0.26%
NbVWZr,21.99531,516.993,127.38,152.515,257.251,169.4316,167.0186,168.2251,414.355,0.231549,21.37865,0.007172,348.2135,0.653934,-20.1438,0.030123,Nb8V8W8Zr8C32,-644.6,703.85,1.80%,1.42%,0.06%
TaTiVW,20.5375,650.859,121.824,174.692,298.169,210.6222,202.1507,206.3865,503.0845,0.218792,26.3579,0.020523,410.5157,0.692179,-20.4996,0.008937,Ta8Ti8V8W8C32,-655.987,657.2,1.74%,1.54%,0.17%
TaTiVZr,21.83906,537.787,122.463,167.897,260.9043,183.803,181.8239,182.8135,444.5983,0.215989,24.52752,0.005413,365.1324,0.700692,-19.7856,0.027616,Ta8Ti8V8Zr8C32,-633.14,698.85,1.58%,1.35%,0.38%
TaTiWZr,22.37625,570.972,135.064,167.095,280.3667,187.4386,184.2971,185.8678,456.6845,0.228519,23.30262,0.008451,383.2039,0.662946,-20.6016,0.008985,Ta8Ti8W8Zr8C32,-659.251,716.04,2.36%,1.42%,0.24%
TaVWZr,21.99344,519.828,141.616,154.231,267.6867,168.181,166.5145,167.3477,415.4654,0.241324,20.2374,0.004979,354.2736,0.625163,-20.5696,0.022122,Ta8V8W8Zr8C32,-658.228,703.79,1.64%,1.76%,0.21%
TiVWZr,21.39063,521.387,127.19,157.509,258.589,173.3448,171.2696,172.3072,422.974,0.227383,22.21416,0.006022,351.6905,0.666336,-19.7331,0.026132,Ti8V8W8Zr8C32,-631.459,684.5,1.77%,1.68%,0.22%
HfTiZr,23.94813,472.789,111.822,159.817,232.1443,168.0836,167.4884,167.786,405.6323,0.208779,23.91086,0.001774,335.07,0.722766,-19.5844,0.007013,Hf10Ti11Zr11C32,-626.701,766.34,1.28%,1.22%,0.42%
CrTiZr,21.63813,319.589,149.745,120.349,206.3597,106.1782,103.1384,104.6583,268.5716,0.283088,11.44306,0.014522,245.3217,0.507165,-18.6234,0.017768,Cr10Ti11Zr11C32,-595.948,692.42,1.92%,1.78%,0.65%
HfMoW,22.36906,434.477,171.188,133.899,258.951,132.9972,132.988,132.9926,340.659,0.280744,13.75375,0.0000346,311.5041,0.513582,-20.8865,0.009158,Hf10Mo11W11C32,-668.368,715.81,1.13%,1.60%,0.30%
NbTaV,21.19844,626.223,132.395,175.461,297.0043,204.0422,198.43,201.2361,492.481,0.22364,25.26934,0.013944,406.7101,0.677553,-20.5351,0.009931,Nb10Ta11V11C32,-657.122,678.35,1.61%,1.32%,0.29%
NbVW,20.66063,574.803,129.412,157.165,277.8757,183.3772,178.1319,180.7545,445.6366,0.232712,22.35936,0.01451,371.2448,0.650487,-20.4074,0.031737,Nb10V11W11C32,-653.036,661.14,2.22%,2.01%,0.41%
TaVW,20.71063,601.725,126.094,160.495,284.6377,191.4232,184.4879,187.9555,462.1437,0.229396,23.3824,0.018449,383.3004,0.660333,-20.926,0.020716,Ta10V11W11C32,-669.631,662.74,1.66%,1.45%,0.11%
NbTaW,22.02,594.237,148.295,151.046,296.9423,179.816,173.4228,176.6194,442.188,0.25181,19.8676,0.018099,383.4053,0.594794,-21.4904,0.008652,Nb10Ta11W11C32,-687.694,704.64,2.47%,2.53%,0.51%
CrMoW,20.03594,322.807,171.428,109.038,221.8877,95.6986,92.70059,94.1996,247.5652,0.314046,8.676706,0.015913,238.2645,0.424537,-20.0066,0.030741,Cr10Mo11W11C32,-640.21,641.15,0.93%,0.95%,0.18%
CrHfMo,21.48625,450.083,89.3357,119.251,209.5848,143.7001,137.9496,140.8248,345.1662,0.225516,19.44084,0.020417,286.4483,0.671923,-19.6791,0.021201,Cr10Hf11Mo11C32,-629.73,687.56,2.48%,3.14%,1.62%
CrHfTa,21.95813,511.823,125.195,147.049,254.071,165.555,162.6163,164.0857,405.058,0.234288,20.709,0.008955,341.6741,0.645826,-20.4537,0.02663,Cr10Hf11Ta11C32,-654.518,702.66,1.71%,1.55%,0.18%
CrHfTi,21.23406,384.782,138.013,145.077,220.2693,136.4,135.5448,135.9724,338.3052,0.244022,17.2213,0.003145,287.9881,0.617301,-19.2129,0.038359,Cr10Hf11Ti11C32,-614.814,679.49,2.54%,1.87%,0.17%
CrHfV,20.48281,320.275,173.148,136.063,222.1903,111.0632,101.5517,106.3074,275.0554,0.293679,10.82858,0.044736,254.2198,0.478452,-19.2766,0.009113,Cr10Hf11V11C32,-616.851,655.45,1.60%,2.00%,0.21%
CrHfW,21.49344,528.319,99.8137,123.697,242.6488,159.9193,148.8645,154.3919,382.129,0.237529,19.50203,0.035801,322.7396,0.636277,-20.3499,0.037247,Cr10Hf11W11C32,-651.198,687.79,1.86%,1.76%,0.48%
CrHfZr,23.28219,364.525,120.161,123.147,201.6157,122.761,122.7592,122.7601,306.1449,0.246924,15.77082,0.00000743,265.8447,0.608882,-19.3726,0.034298,Cr10Hf11Zr11C32,-619.924,745.03,2.77%,1.79%,0.34%
CrMoNb,20.60094,498.09,99.275,117.076,232.2133,150.0086,140.2364,145.1225,360.3087,0.241395,18.28835,0.033669,303.943,0.624953,-19.5503,0.038337,Cr10Mo11Nb11C32,-625.608,659.23,3.16%,2.24%,0.32%
CrMoTa,20.54594,500.623,157.175,122.516,271.6577,142.1992,138.3769,140.2881,359.0568,0.279712,14.37335,0.013623,323.0792,0.516415,-20.1253,0.037716,Cr10Mo11Ta11C32,-644.011,657.47,1.37%,2.51%,0.43%
CrMoTi,19.57781,527.969,120.689,144.737,256.449,168.2982,163.6741,165.9862,409.5898,0.233807,20.93082,0.013929,338.7119,0.647248,-19.0458,0.022388,Cr10Mo11Ti11C32,-609.467,626.49,1.83%,1.83%,0.30%
CrMoV,18.925,503.684,123.648,131.313,250.3267,154.795,149.8285,152.3117,379.8875,0.247072,18.35812,0.016304,318.7569,0.608452,-19.1061,0.028484,Cr10Mo11V11C32,-611.397,605.6,1.60%,1.01%,0.42%
CrMoZr,21.96875,411.467,97.3317,110.086,202.0435,128.8787,125.0476,126.9631,314.9238,0.240218,16.74103,0.015087,268.0374,0.628395,-19.1251,0.006838,Cr10Mo11Zr11C32,-612.004,703,1.58%,1.79%,0.20%
CrNbTa,21.07219,445.914,185.703,132.153,272.44,131.334,131.3263,131.3302,339.4468,0.292342,12.68432,0.0000293,314.3663,0.482052,-20.3145,0.044815,Cr10Nb11Ta11C32,-650.063,674.31,6.24%,1.69%,1.60%
CrNbTi,20.23188,532.813,122.22,158.605,259.0843,177.2816,174.4779,175.8798,430.275,0.223208,23.02123,0.00797,352.3718,0.678851,-19.179,0.030697,Cr10Nb11Ti11C32,-613.726,647.42,1.80%,1.62%,0.20%
CrNbV,19.48281,527.745,135.431,138.378,266.2023,161.4896,156.8595,159.1745,398.1636,0.250714,18.56858,0.014544,337.6639,0.597946,-19.2332,0.034051,Cr10Nb11V11C32,-615.464,623.45,1.87%,1.77%,1.69%
CrNbW,20.65281,481.159,143.844,119.534,256.2823,139.1834,135.2967,137.2401,349.3592,0.272803,14.74779,0.01416,310.644,0.535503,-20.2018,0.092008,Cr10Nb11W11C32,-646.456,660.89,3.37%,2.40%,1.99%
CrNbZr,22.34188,408.821,115.17,118.336,213.0537,129.7318,128.2934,129.0126,322.0359,0.248079,16.2335,0.005574,278.2364,0.60554,-19.2771,0.020714,Cr10Nb11Zr11C32,-616.866,714.94,2.97%,2.75%,0.83%
CrTaTi,20.23,579.631,115.761,155.261,270.3843,185.9306,178.9203,182.4254,446.7939,0.224593,23.45997,0.019214,366.6059,0.674689,-19.7832,0.036169,Cr10Ta11Ti11C32,-633.063,647.36,1.63%,1.73%,1.02%
CrTaV,19.55781,585.745,127.121,148.737,279.9957,180.967,173.0609,177.0139,438.6114,0.238918,21.32802,0.022332,365.426,0.632202,-19.8311,0.062017,Cr10Ta11V11C32,-634.596,625.85,1.72%,1.50%,0.34%
CrTaW,20.64531,531.663,143.295,125.411,272.751,152.9202,146.1097,149.515,379.2471,0.268258,16.09217,0.022775,334.474,0.548174,-20.7709,0.040016,Cr10Ta11W11C32,-664.667,660.65,3.45%,2.89%,0.54%
CrTaZr,22.29906,475.85,127.985,138.886,243.94,152.9046,151.0612,151.9829,377.5416,0.242053,18.83035,0.006064,323.0378,0.623034,-19.8817,0.043152,Cr10Ta11Zr11C32,-636.214,713.57,1.89%,1.69%,0.30%
CrTiV,18.43469,522.337,136.878,159.587,265.3643,172.844,171.3751,172.1096,424.5451,0.233357,21.5248,0.004267,347.3466,0.648578,-18.7017,0.035518,Cr10Ti11V11C32,-598.453,589.91,1.93%,1.67%,0.47%
CrTiW,19.67125,461.912,162.244,147.868,262.1333,148.6544,148.6482,148.6513,375.0576,0.261535,16.65633,0.0000209,324.3278,0.567083,-19.723,0.023085,Cr10Ti11W11C32,-631.135,629.48,2.75%,0.96%,0.15%
CrVW,19.05,517.697,114.598,136.66,248.9643,162.6158,156.8607,159.7383,394.7825,0.235717,20.16831,0.018014,325.9034,0.641611,-19.7625,0.039349,Cr10V11W11C32,-632.4,609.6,1.18%,1.19%,0.21%
CrVZr,20.905,397.767,89.7393,120.973,192.4152,134.1893,132.3285,133.2589,324.7965,0.218667,19.34961,0.006982,265.7722,0.692559,-18.6954,0.026378,Cr10V11Zr11C32,-598.251,668.96,2.27%,2.22%,0.51%
CrWZr,21.95,431.053,95.9553,114.383,207.6545,135.6493,131.0118,133.3306,329.4754,0.235558,17.76095,0.017391,278.4249,0.642079,-19.7864,0.017054,Cr10W11Zr11C32,-633.166,702.4,1.85%,1.97%,0.16%
HfMoNb,22.77438,546.728,112.316,154.013,257.12,179.2902,174.2967,176.7934,431.4852,0.220309,23.44436,0.014123,358.9567,0.687591,-20.4751,0.009723,Hf10Mo11Nb11C32,-655.204,728.78,1.73%,1.69%,0.21%
HfMoTa,22.75188,534.213,135.137,156.713,268.1623,173.843,171.43,172.6365,426.4061,0.234983,21.38992,0.006989,362.1885,0.643776,-21.0618,0.009362,Hf10Mo11Ta11C32,-673.977,728.06,1.70%,1.57%,0.16%
HfMoTi,22.00031,419.033,170.977,160.073,253.6623,145.655,143.4027,144.5289,364.3821,0.260586,16.41591,0.007792,320.5114,0.569769,-19.8696,0.00803,Hf10Mo11Ti11C32,-635.826,704.01,3.13%,1.53%,0.63%
HfMoV,21.37344,432.893,135.487,145.969,234.6223,147.0626,147.0504,147.0565,364.9267,0.24077,18.52194,0.0000413,309.4372,0.62678,-19.8584,0.007358,Hf10Mo11V11C32,-635.468,683.95,2.55%,2.48%,0.11%
HfMoZr,23.99313,500.139,98.6937,151.691,232.5088,171.3037,168.1178,169.7107,409.4995,0.206463,24.37586,0.009386,337.3563,0.729911,-20.1068,0.007577,Hf10Mo11Zr11C32,-643.416,767.78,1.69%,1.53%,0.15%
HfNbTa,23.22031,636.225,112.181,176.99,286.8623,211.0028,203.3921,207.1975,500.9759,0.208934,27.74229,0.018366,411.788,0.722289,-21.3047,0.006072,Hf10Nb11Ta11C32,-681.75,743.05,1.34%,1.31%,0.10%
HfNbV,21.93594,560.931,110.748,166.141,260.809,189.7212,185.5823,187.6517,454.0573,0.20984,25.74925,0.011028,370.138,0.719499,-20.0469,0.019198,Hf10Nb11V11C32,-641.5,701.95,1.48%,1.55%,0.28%
HfNbW,22.75344,555.918,124.681,157.5,268.4267,180.7474,176.5333,178.6404,438.6194,0.22766,22.75702,0.011795,368.6185,0.665509,-21.132,0.00774,Hf10Nb11W11C32,-676.225,728.11,1.60%,1.45%,0.16%
HfNbZr,24.45281,539.469,110.729,169.506,253.6423,187.4516,184.9923,186.2219,448.8248,0.20508,26.20563,0.006603,370.2665,0.734191,-20.3407,0.005103,Hf10Nb11Zr11C32,-650.903,782.49,1.35%,1.25%,0.27%
HfTaTi,22.59875,557.787,125.38,183.834,269.5157,196.7818,195.5446,196.1632,473.5908,0.207135,26.92112,0.003154,386.6175,0.727836,-20.6804,0.008146,Hf10Ta11Ti11C32,-661.771,723.16,1.43%,1.26%,0.15%
HfTaV,21.94375,578.476,115.192,173.084,269.62,196.5072,192.5548,194.531,470.4497,0.20919,26.49763,0.010159,383.1971,0.721501,-20.6537,0.015463,Hf10Ta11V11C32,-660.919,702.2,1.49%,1.46%,0.45%
HfTaW,22.70719,594.041,124.573,160.218,281.0623,190.0244,183.5215,186.7729,458.7106,0.22799,23.44625,0.017409,385.5543,0.664525,-21.6998,0.00744,Hf10Ta11W11C32,-694.393,726.63,2.41%,1.71%,0.28%
HfTaZr,24.38469,558.392,113.794,177.277,261.9933,195.2858,192.9045,194.0952,466.969,0.202938,27.26333,0.006134,384.0066,0.74084,-20.9494,0.009367,Hf10Ta11Zr11C32,-670.382,780.31,1.38%,1.25%,0.24%
HfTiV,21.15125,517.673,108.147,161.683,244.6557,178.915,176.5399,177.7274,429.2427,0.207587,25.04941,0.006682,346.7721,0.726439,-19.4028,0.009788,Hf10Ti11V11C32,-620.889,676.84,1.81%,1.56%,0.36%
HfTiW,21.99125,604.51,103.905,170.595,270.7733,202.478,195.497,198.9875,479.5026,0.204856,27.49467,0.017541,388.5296,0.734886,-20.5662,0.007162,Hf10Ti11W11C32,-658.118,703.72,1.56%,1.50%,0.36%
HfVW,21.42,529.504,124.308,151.851,259.3733,172.1498,168.7594,170.4546,419.474,0.230457,21.70066,0.009945,350.405,0.657179,-20.5395,0.026468,Hf10V11W11C32,-657.263,685.44,2.04%,1.93%,0.14%
HfVZr,23.26406,444.551,105.47,150.887,218.497,158.3484,157.8332,158.0908,382.1143,0.208528,22.95202,0.00163,314.0197,0.723538,-19.5748,0.031507,Hf10V11Zr11C32,-626.393,744.45,1.63%,1.65%,0.37%
HfWZr,23.89906,522.439,104.514,157.623,243.8223,178.1588,174.8016,176.4802,426.5318,0.208441,24.82215,0.009511,352.0586,0.723807,-20.7855,0.009292,Hf10W11Zr11C32,-665.137,764.77,1.77%,1.47%,0.23%
MoNbTa,22.05094,614.987,141.53,154.651,299.349,187.482,179.5525,183.5172,457.1354,0.245484,21.12795,0.021604,392.4929,0.613054,-20.8904,0.007686,Mo10Nb11Ta11C32,-668.494,705.63,1.45%,1.17%,0.34%
MoNbTi,21.25125,568.64,126.52,168.181,273.8933,189.3326,185.9756,187.6541,458.2971,0.221122,24.35586,0.008945,377.3119,0.685136,-19.7836,0.006353,Mo10Nb11Ti11C32,-633.074,680.04,1.61%,1.75%,0.04%
MoNbV,20.59375,556.08,139.08,159.313,278.08,178.9878,175.9128,177.4503,438.9766,0.2369,21.59302,0.008665,367.7724,0.638127,-19.7733,0.036475,Mo10Nb11V11C32,-632.745,659,2.87%,2.50%,0.36%
MoNbW,21.69188,422.309,136.662,124.701,231.8777,131.95,131.3686,131.6593,332.1192,0.261283,15.30652,0.002208,291.7907,0.567796,-20.6997,0.025054,Mo10Nb11W11C32,-662.39,694.14,1.47%,0.92%,0.37%
MoNbZr,23.18281,520.189,117.329,151.199,251.6157,171.2914,167.952,169.6217,415.4984,0.22478,22.26088,0.009844,348.8488,0.67413,-19.9553,0.008785,Mo10Nb11Zr11C32,-638.571,741.85,1.63%,1.91%,0.22%
MoTaTi,21.26469,607.222,130.439,165.777,289.3667,194.8228,188.7778,191.8003,471.276,0.228559,23.82198,0.015758,392.1258,0.662828,-18.9553,0.007175,Mo10Ta11Ti11C32,-652.018,680.47,1.74%,1.54%,1.01%
MoTaV,20.65,554.075,146.989,160.37,282.6843,177.6392,175.2377,176.4384,438.1564,0.241669,20.97115,0.006806,369.914,0.624154,-17.9553,0.020512,Mo10Ta11V11C32,-651.344,660.8,3.04%,2.59%,0.21%
MoTaW,21.59844,592.637,140.355,122.562,291.1157,163.9936,150.0535,157.0236,399.2817,0.271407,16.35687,0.044389,356.7951,0.539385,-16.9553,0.009101,Mo10Ta11W11C32,-680.339,691.15,2.86%,2.14%,0.86%
MoTaZr,23.14719,540.83,120.985,150.454,260.9333,174.2414,169.6815,171.9614,422.9687,0.229836,21.90605,0.013259,357.5993,0.659024,-15.9553,0.00888,Mo10Ta11Zr11C32,-657.401,740.71,2.05%,2.00%,1.09%
MoTiV,19.67031,583.099,128.527,169.942,280.051,192.8796,189.0176,190.9486,466.7611,0.222217,24.5228,0.010113,379.9374,0.681835,-14.9553,0.009474,Mo10Ti11V11C32,-616.15,629.45,1.82%,1.66%,0.30%
MoTiW,20.76906,574.343,114.592,154.941,267.8423,184.9148,178.1733,181.544,444.2589,0.223557,23.50233,0.018567,365.5949,0.677802,-13.9553,0.007398,Mo10Ti11W11C32,-647.696,664.61,2.22%,1.90%,1.69%
MoTiZr,22.51625,428.753,135.19,152.319,233.0443,150.104,150.0546,150.0793,370.6684,0.234909,19.37859,0.000165,314.2648,0.643995,-12.9553,0.008324,Mo10Ti11Zr11C32,-618.461,720.52,2.21%,1.83%,0.65%
MoVZr,21.84875,5.43E+02,84.8733,145.022,237.4645,178.5679,169.9267,174.2473,420.0099,0.205212,24.98523,0.024796,340.1106,0.733782,-10.9553,0.020864,Mo10V11Zr11C32,-618.103,699.16,1.78%,1.82%,0.35%
MoWZr,22.7975,493.337,111.405,132.439,238.7157,155.8498,150.9434,153.3966,379.0075,0.235384,19.63212,0.015993,322.2277,0.642591,-9.95534,0.008437,Mo10W11Zr11C32,-652.146,729.52,1.80%,1.88%,0.16%
NbTaTi,21.81875,590.705,139.961,182.361,290.209,199.5654,197.4326,198.499,484.9342,0.221503,25.29587,0.005372,401.2111,0.683986,-8.95534,0.009173,Nb10Ta11Ti11C32,-658.032,698.2,0.94%,1.30%,0.22%
NbTaZr,23.6,585.991,123.598,172.613,277.729,196.0464,192.0819,194.0641,472.207,0.216626,25.50642,0.010215,393.1895,0.698754,-7.95534,0.00977,Nb10Ta11Zr11C32,-664.543,755.2,0.96%,1.31%,0.10%
NbTiV,20.31688,641.501,96.0327,186.136,277.8555,220.7753,213.216,216.9956,516.5243,0.190172,31.32693,0.017418,405.6123,0.780966,-6.95534,0.021141,Nb10Ti11V11C32,-620.279,650.14,4.66%,1.72%,4.91%
NbTiW,21.26,628.213,118.95,171.279,288.7043,204.62,197.085,200.8525,489.1281,0.21763,26.00524,0.018758,400.7982,0.695703,-5.95534,0.0067,Nb10Ti11W11C32,-653.993,680.32,1.71%,1.55%,0.23%
NbTiZr,23.05406,514.229,120.632,165.646,251.831,178.107,176.8435,177.4752,431.1443,0.21466,24.17608,0.00356,356.6548,0.704739,-4.95534,0.006306,Nb10Ti11Zr11C32,-624.161,737.73,1.46%,1.24%,0.35%
NbVZr,22.38188,551.027,90.3597,156.577,243.9155,186.0797,179.5786,182.8291,438.8415,0.200141,26.4832,0.017779,354.5073,0.749559,-3.95534,0.01262,Nb10V11Zr11C32,-623.535,716.22,1.56%,1.54%,0.12%
NbWZr,23.1475,516.942,110.449,137.881,245.9467,164.0272,158.2371,161.1321,396.7522,0.231139,20.78034,0.017967,336.0693,0.655151,-2.95534,0.009609,Nb10W11Zr11C32,-658.988,740.72,3.30%,1.99%,3.79%
TaTiW,21.27938,646.904,116.898,172.113,293.5667,209.269,200.1802,204.7246,498.333,0.217081,26.43102,0.022198,408.0984,0.69737,-1.95534,0.008274,Ta10Ti11W11C32,-670.862,680.94,1.65%,1.65%,0.15%
TaTiZr,23.0275,537.779,118.387,173.777,258.1843,188.1446,186.5594,187.352,452.5833,0.207842,25.97037,0.004231,370.967,0.725652,-0.95534,0.005349,Ta10Ti11Zr11C32,-642.089,736.88,1.43%,1.24%,0.33%
TaVZr,22.37469,564.116,97.772,162.131,253.22,190.5474,184.6319,187.5896,451.3203,0.202946,26.61221,0.015767,365.8583,0.740817,0.044663,0.022381,Ta10V11Zr11C32,-641.223,715.99,1.63%,1.48%,0.16%
TaWZr,23.10156,595.453,100.797,155.44,265.6823,192.1952,182.5718,187.3835,455.1468,0.214479,25.14646,0.025678,376.5482,0.705292,1.044663,0.012238,Ta10W11Zr11C32,-675.651,739.25,1.52%,1.68%,0.08%
TiVW,19.80063,602.264,132.798,177.353,289.2867,200.305,196.5738,198.4394,484.5289,0.220848,25.37353,0.009401,394.0863,0.685961,2.044663,0.017074,Ti10V11W11C32,-639.029,633.62,2.02%,1.81%,0.18%
TiVZr,21.68281,472.731,110.931,152.463,231.531,163.8378,162.693,163.2654,396.5794,0.214524,22.80431,0.003506,324.6666,0.705156,3.044663,0.033598,Ti10V11Zr11C32,-604.183,693.85,1.68%,4.90%,0.32%
